Feature,Score
nlri_ann,0.11883767
edit_distance_dict_1,0.10678457
dups,0.09067587
flaps,0.08281423
rare_ases_avg,0.06232259
imp_wd_dpath,0.047053397
imp_wd_spath,0.043080203
edit_distance_dict_9,0.0412964
unique_as_path_avg,0.033779852
origin_changes,0.02981263
edit_distance_dict_6,0.027607456
number_rare_ases,0.025307052
origin_0,0.021563586
unique_as_path_max,0.021307202
imp_wd,0.0168823
announcements,0.016411947
edit_distance_dict_5,0.015971314
news,0.015208921
edit_distance_max,0.014374416
edit_distance_dict_4,0.014242123
origin_2,0.013866565
as_path_max,0.013840904
edit_distance_dict_8,0.013511157
nadas,0.013199719
edit_distance_dict_0,0.012340327
withdrawals,0.0115333935
ann_to_longer,0.011442772
rare_ases_max,0.011412038
ann_to_shorter,0.0110381385
edit_distance_dict_2,0.009591437
edit_distance_avg,0.009415124
edit_distance_dict_3,0.007892706
as_path_avg,0.0068816273
edit_distance_dict_7,0.005884372
origin_1,0.002815974
edit_distance_unique_dict_7,0.0
edit_distance_unique_dict_9,0.0
edit_distance_unique_dict_8,0.0
edit_distance_unique_dict_1,0.0
edit_distance_dict_10,0.0
edit_distance_unique_dict_0,0.0
edit_distance_unique_dict_6,0.0
edit_distance_unique_dict_5,0.0
edit_distance_unique_dict_4,0.0
wd_dups,0.0
edit_distance_unique_dict_2,0.0
edit_distance_unique_dict_10,0.0
edit_distance_unique_dict_3,0.0
