Feature,Score
edit_distance_dict_1,0.09107753840779181
flaps,0.09016238461099096
edit_distance_unique_dict_1,0.08298334137189908
dups,0.053448705354424614
imp_wd_spath,0.05156348165386776
imp_wd_dpath,0.03962474564437649
nlri_ann,0.03929455469494961
announcements,0.037434066932425084
origin_0,0.037102312719838985
withdrawals,0.03638228907031278
rare_ases_avg,0.035674507268127195
imp_wd,0.03354823186829274
edit_distance_dict_0,0.022684765499598494
edit_distance_unique_dict_0,0.0212737224957786
origin_2,0.020136912924592573
ann_to_shorter,0.019123038989251315
origin_changes,0.017131900897180714
edit_distance_dict_2,0.016387722842370465
nadas,0.01592208464615371
unique_as_path_max,0.015856547152438366
edit_distance_unique_dict_2,0.015809789436819714
ann_to_longer,0.015662382747643398
edit_distance_avg,0.014957591850954239
edit_distance_dict_3,0.013818433160452854
edit_distance_unique_dict_6,0.013670246889823648
number_rare_ases,0.013629304368635771
rare_ases_max,0.01340759229897033
as_path_max,0.011733997470066647
edit_distance_dict_6,0.010926031741012636
edit_distance_unique_dict_3,0.009854376690976547
unique_as_path_avg,0.009850508771335654
edit_distance_unique_dict_4,0.009816417587425968
edit_distance_unique_dict_5,0.008821827311538088
edit_distance_dict_5,0.008625533395593
edit_distance_dict_4,0.008400781128169084
as_path_avg,0.0077195319193166245
edit_distance_max,0.0072787530201529884
news,0.003969572720986126
edit_distance_dict_7,0.003892551988974944
edit_distance_dict_9,0.003827246810910293
edit_distance_unique_dict_7,0.003650656849524653
edit_distance_unique_dict_9,0.0035496100115068
edit_distance_unique_dict_8,0.003348280296875347
edit_distance_dict_8,0.00253016453533757
edit_distance_dict_10,0.001736531745295955
edit_distance_unique_dict_10,0.001486914251670138
origin_1,0.0012125159553695315
wd_dups,0.0
