Feature,Score
edit_distance_dict_4,0.00012902252182891757
edit_distance_unique_dict_4,9.881773107825117e-05
nlri_ann,6.393968937738345e-05
imp_wd_spath,2.5404880416565843e-05
edit_distance_dict_2,7.452210848963588e-06
edit_distance_unique_dict_2,6.759419162903815e-06
dups,6.413524516538189e-06
edit_distance_unique_dict_3,5.740299615179094e-06
edit_distance_dict_3,5.727916274664249e-06
edit_distance_dict_1,4.8136764350343425e-06
ann_to_longer,4.798234200693018e-06
edit_distance_unique_dict_1,4.768281939481472e-06
nadas,3.3220662748966646e-06
withdrawals,2.0417889911985844e-06
announcements,1.5954179585312077e-06
ann_to_shorter,1.5781756102231276e-06
imp_wd,3.8575302472758815e-07
edit_distance_dict_10,0.0
edit_distance_dict_6,0.0
edit_distance_dict_5,0.0
origin_changes,0.0
rare_ases_avg,0.0
rare_ases_max,0.0
edit_distance_dict_0,0.0
unique_as_path_avg,0.0
edit_distance_dict_8,0.0
edit_distance_avg,0.0
unique_as_path_max,0.0
as_path_max,0.0
as_path_avg,0.0
edit_distance_dict_7,0.0
number_rare_ases,0.0
edit_distance_dict_9,0.0
news,0.0
edit_distance_unique_dict_0,0.0
edit_distance_unique_dict_10,0.0
origin_2,0.0
wd_dups,0.0
origin_1,0.0
edit_distance_unique_dict_5,0.0
edit_distance_unique_dict_6,0.0
edit_distance_unique_dict_7,0.0
edit_distance_unique_dict_8,0.0
edit_distance_unique_dict_9,0.0
flaps,0.0
imp_wd_dpath,0.0
origin_0,0.0
edit_distance_max,0.0
