Feature,Score
nlri_ann,0.2761430092542193
imp_wd_dpath,0.2357708966029316
wd_dups,0.06508707481491025
origin_2,0.038747115969680154
origin_0,0.03374945445589229
unique_as_path_max,0.025920521371892446
edit_distance_dict_9,0.022971848991145124
ann_to_shorter,0.022802387127864945
withdrawals,0.021133554974519703
rare_ases_avg,0.020016644042419207
ann_to_longer,0.019903469230227833
flaps,0.019793623411201985
dups,0.018260133880121023
nadas,0.016628144167863162
imp_wd,0.01368906374559222
edit_distance_avg,0.013367141537194354
edit_distance_dict_2,0.01188608412829036
imp_wd_spath,0.011788151868569036
edit_distance_unique_dict_1,0.011617175152278442
origin_changes,0.011430292240961166
edit_distance_dict_3,0.010794226346784296
as_path_avg,0.009985030465074997
edit_distance_unique_dict_7,0.00810779743150754
edit_distance_dict_0,0.00807059325839719
edit_distance_unique_dict_4,0.007646960048295577
edit_distance_dict_4,0.0072375175216730725
edit_distance_unique_dict_0,0.006021435170972682
edit_distance_unique_dict_6,0.005067941111963036
edit_distance_max,0.0036880900923000563
announcements,0.0035994881012350755
edit_distance_unique_dict_9,0.003581927415586416
news,0.0031040738474791205
edit_distance_dict_6,0.0028498652393654043
number_rare_ases,0.0026589812538831098
edit_distance_unique_dict_10,0.0024128314306244352
unique_as_path_avg,0.0019194520926468703
edit_distance_unique_dict_3,0.0017994863368564406
edit_distance_dict_1,0.000748515867580037
edit_distance_dict_5,0.0
edit_distance_dict_7,0.0
edit_distance_dict_8,0.0
rare_ases_max,0.0
edit_distance_dict_10,0.0
edit_distance_unique_dict_2,0.0
edit_distance_unique_dict_5,0.0
as_path_max,0.0
edit_distance_unique_dict_8,0.0
origin_1,0.0
