Feature,Score
nlri_ann,0.06134436531150975
imp_wd_dpath,0.06072499399709797
edit_distance_unique_dict_0,0.0545489199735464
announcements,0.04674149002356421
edit_distance_avg,0.04402521457104213
edit_distance_dict_0,0.043805511759041516
unique_as_path_max,0.04346146632603265
dups,0.04083787092863269
edit_distance_unique_dict_1,0.03623275113758723
edit_distance_dict_1,0.0355434827946442
origin_0,0.03462378445443455
imp_wd,0.03438257412119441
wd_dups,0.03310045946004142
flaps,0.03214797069557678
edit_distance_dict_2,0.03157573173986383
ann_to_longer,0.029182228673539888
ann_to_shorter,0.026563952004898916
origin_2,0.02318931408819418
withdrawals,0.02290809380482717
edit_distance_unique_dict_2,0.022084811538573647
nadas,0.020767739585388672
imp_wd_spath,0.016009809221606858
edit_distance_unique_dict_3,0.015529764286127927
edit_distance_dict_3,0.015295218781109881
edit_distance_max,0.014535646842186202
as_path_max,0.014509467858176061
edit_distance_unique_dict_4,0.014007025174651556
unique_as_path_avg,0.013172146147678077
origin_changes,0.01282683580862667
as_path_avg,0.012683853260164175
edit_distance_dict_4,0.011854407355479784
rare_ases_avg,0.00883507190517919
edit_distance_unique_dict_9,0.007986972069371753
edit_distance_unique_dict_5,0.007807563063896153
number_rare_ases,0.007352647022108273
edit_distance_dict_9,0.0070387449310564945
edit_distance_dict_5,0.006396088212460134
edit_distance_unique_dict_6,0.0051269057019506315
edit_distance_dict_6,0.004800796991861324
edit_distance_unique_dict_7,0.004314512151077605
rare_ases_max,0.0041599317970968915
edit_distance_dict_7,0.0032704581526373563
news,0.003137207262859761
edit_distance_unique_dict_8,0.0029598839362336253
edit_distance_unique_dict_10,0.0027969329829926892
edit_distance_dict_10,0.0026943117675878535
edit_distance_dict_8,0.0022992859487945927
origin_1,0.0008057843777961887
