Feature,Score
edit_distance_avg,431.72997790703425
nlri_ann,253.95129085690056
origin_0,141.35927449565705
unique_as_path_avg,113.72618857088456
imp_wd_spath,91.88757025851687
as_path_avg,80.58010721154203
edit_distance_dict_6,60.261881802889945
edit_distance_unique_dict_6,60.261881802889945
rare_ases_avg,50.40843081133268
edit_distance_unique_dict_0,47.81808582675732
edit_distance_dict_0,47.81808582675732
edit_distance_unique_dict_4,45.647155360867984
edit_distance_dict_4,45.647155360867984
edit_distance_dict_1,45.47898861533986
edit_distance_unique_dict_1,45.47898861533986
withdrawals,44.15258362810375
unique_as_path_max,41.251078841587045
edit_distance_unique_dict_7,39.031703919358165
edit_distance_dict_7,39.031703919358165
origin_1,37.44124281467856
announcements,37.22839157394559
dups,37.163538642905024
origin_2,36.982217070183694
edit_distance_unique_dict_5,34.92491462795859
edit_distance_dict_5,34.92491462795859
imp_wd,34.45797657008067
origin_changes,33.221961836384374
flaps,30.90201312025435
ann_to_longer,30.246074386366267
ann_to_shorter,30.114365096329134
imp_wd_dpath,30.086089177274417
nadas,27.238756936036303
edit_distance_unique_dict_3,25.461247927904065
edit_distance_dict_3,25.461247927904065
edit_distance_unique_dict_2,25.419469157798314
edit_distance_dict_2,25.419469157798314
number_rare_ases,23.81689635994619
edit_distance_dict_8,19.46192907524869
edit_distance_unique_dict_8,19.46192907524869
edit_distance_dict_9,18.83552794341325
edit_distance_unique_dict_9,18.83552794341325
wd_dups,17.90485489871531
news,14.771518027369218
edit_distance_dict_10,6.739968007822448
edit_distance_unique_dict_10,6.739968007822448
as_path_max,2.538635589294613
edit_distance_max,0.2729097590758957
rare_ases_max,0.22616772961478973
