Feature,Score
imp_wd_dpath,0.23928101156280235
edit_distance_unique_dict_1,0.20760964818218608
edit_distance_dict_1,0.2025576998576888
imp_wd,0.19752005272780226
edit_distance_dict_0,0.18395907044248028
nlri_ann,0.17459986508023095
ann_to_longer,0.17191752499476887
origin_0,0.17010801674587195
edit_distance_unique_dict_0,0.1683572367433428
edit_distance_dict_2,0.1670233513236421
edit_distance_unique_dict_2,0.16634572661634617
announcements,0.16548325239817685
ann_to_shorter,0.15821630519400842
edit_distance_avg,0.1430975194086046
dups,0.12526521685228165
edit_distance_max,0.12505341079072974
edit_distance_unique_dict_3,0.12060696073675392
edit_distance_dict_3,0.11238783061981028
edit_distance_unique_dict_4,0.107144322634388
as_path_max,0.10056630524056698
imp_wd_spath,0.09832142427509205
flaps,0.09382885978069444
unique_as_path_max,0.0926229959810323
edit_distance_dict_4,0.09260398039801054
withdrawals,0.08574232889307809
rare_ases_avg,0.08414031686054235
origin_changes,0.08392708374569469
origin_2,0.08104098687969796
edit_distance_dict_5,0.07500392848623294
nadas,0.07150526834604243
edit_distance_unique_dict_5,0.07101465832931653
as_path_avg,0.04489846318573654
edit_distance_unique_dict_6,0.04069330628586587
edit_distance_dict_6,0.038931526663994465
wd_dups,0.03784045749161624
unique_as_path_avg,0.03678670652841953
edit_distance_unique_dict_7,0.03366353051013715
edit_distance_dict_9,0.031122126215213486
edit_distance_dict_7,0.03055513053539216
news,0.028908528186232907
edit_distance_unique_dict_10,0.02870553693222866
edit_distance_unique_dict_9,0.021192027318634787
number_rare_ases,0.016369880789540492
edit_distance_dict_10,0.014875259601648816
edit_distance_dict_8,0.014824166092126223
edit_distance_unique_dict_8,0.012772364236070866
origin_1,0.01046544775746594
rare_ases_max,0.004702203202598065
