Model,Feature_Type,Feature_Count,F1_Score,Neg_F1_Score,Training_Time,Inference_Time,Complexity,Dataset
Random Forest,Hybrid,5,0.903427241384314,-0.903427241384314,1.0278589725494385,0.03853495121002197,1750,Class_3
Random Forest,Hybrid,10,0.9300727741938347,-0.9300727741938347,1.199845314025879,0.037270092964172365,3500,Class_3
Random Forest,Hybrid,15,0.9403833779823229,-0.9403833779823229,1.1791539192199707,0.038439273834228516,5250,Class_3
Random Forest,Hybrid,20,0.934186140417727,-0.934186140417727,1.3329925537109375,0.038045287132263184,7000,Class_3
Random Forest,Hybrid,25,0.9342250252115125,-0.9342250252115125,1.5236868858337402,0.039293217658996585,8750,Class_3
XGBoost,Hybrid,5,0.90961662698372,-0.90961662698372,0.19727373123168945,0.003996014595031738,1000,Class_3
XGBoost,Hybrid,10,0.9260605707920093,-0.9260605707920093,0.15627622604370117,0.005383014678955078,2000,Class_3
XGBoost,Hybrid,15,0.9342882563448445,-0.9342882563448445,0.17057585716247559,0.006671714782714844,3000,Class_3
XGBoost,Hybrid,20,0.9404411984433727,-0.9404411984433727,0.18720269203186035,0.008117032051086426,4000,Class_3
XGBoost,Hybrid,25,0.9383905643481869,-0.9383905643481869,0.19694113731384277,0.009286737442016602,5000,Class_3
Random Forest,Full,5,0.7171830913672257,-0.7171830913672257,1.0795352458953857,0.045008611679077146,1750,Class_3
Random Forest,Full,10,0.9136914719413615,-0.9136914719413615,1.1361637115478516,0.03856604099273682,3500,Class_3
Random Forest,Full,15,0.9198651577444308,-0.9198651577444308,1.1191518306732178,0.03899352550506592,5250,Class_3
Random Forest,Full,20,0.9178187392816655,-0.9178187392816655,1.2214572429656982,0.0398118257522583,7000,Class_3
Random Forest,Full,25,0.9157961771095958,-0.9157961771095958,1.398723840713501,0.03873069286346435,8750,Class_3
Random Forest,Full,30,0.9137373325906775,-0.9137373325906775,1.339522361755371,0.039235401153564456,10500,Class_3
Random Forest,Full,35,0.9055218404564563,-0.9055218404564563,1.3861804008483887,0.03885188102722168,12250,Class_3
Random Forest,Full,40,0.9198935465001404,-0.9198935465001404,1.5416603088378906,0.03971331119537354,14000,Class_3
XGBoost,Full,5,0.7121104946299125,-0.7121104946299125,0.2870216369628906,0.00438230037689209,1000,Class_3
XGBoost,Full,10,0.90961662698372,-0.90961662698372,0.16722726821899414,0.015611815452575683,2000,Class_3
XGBoost,Full,15,0.9199036806652252,-0.9199036806652252,0.19005727767944336,0.007108449935913086,3000,Class_3
XGBoost,Full,20,0.9158039883296992,-0.9158039883296992,0.20232868194580078,0.008401775360107422,4000,Class_3
XGBoost,Full,25,0.9157961771095958,-0.9157961771095958,0.2116861343383789,0.009884452819824219,5000,Class_3
XGBoost,Full,30,0.9178540857975827,-0.9178540857975827,0.22178268432617188,0.011307621002197265,6000,Class_3
XGBoost,Full,35,0.9342666378063419,-0.9342666378063419,0.23983478546142578,0.012755894660949707,7000,Class_3
XGBoost,Full,40,0.9404336627821559,-0.9404336627821559,0.24731063842773438,0.014276409149169922,8000,Class_3
