Dataset,Model,Accuracy,Precision,Recall,F1 Score
Class_1,Random Forest,0.9301848049281314,0.9312252493399824,0.9301848049281314,0.9301388506225143
Class_1,XGBoost,0.9322381930184805,0.9328244293872362,0.9322381930184805,0.9322124681762264
Class_2,Random Forest,0.9034907597535934,0.9084935253869993,0.9034907597535934,0.9031821065580596
Class_2,XGBoost,0.9260780287474333,0.9274827516721096,0.9260780287474333,0.9260125127860118
Class_3,Random Forest,0.9363449691991786,0.9375989609722927,0.9363449691991786,0.9363030741045477
Class_3,XGBoost,0.9404517453798767,0.9410587119202612,0.9404517453798767,0.9404336627821559
Full_Dataset,Random Forest,0.8794520547945206,0.8823912073282351,0.8794520547945206,0.8792199685641015
Full_Dataset,XGBoost,0.8945205479452055,0.895187969924812,0.8945205479452055,0.8944759938048529
