Feature,Gini_Importance
dups,0.21045277020816996
edit_distance_unique_dict_1,0.10695197626384995
edit_distance_dict_1,0.08669861821694655
imp_wd_spath,0.05780903339398523
origin_2,0.0536119783264689
origin_0,0.05196659047672376
nlri_ann,0.041013069367681905
announcements,0.03973865082861375
edit_distance_unique_dict_0,0.03727566225089787
edit_distance_dict_0,0.03416421215769186
imp_wd_dpath,0.031479813348218894
edit_distance_avg,0.030447679969797536
imp_wd,0.026725285889006953
edit_distance_dict_2,0.024378359736452856
origin_changes,0.020353426424258234
nadas,0.019041369654252863
flaps,0.017576623573814242
unique_as_path_max,0.01706438312068311
number_rare_ases,0.016379202938713013
rare_ases_avg,0.01583601330842112
withdrawals,0.014552382137680437
as_path_max,0.013590153846083372
edit_distance_dict_4,0.01316306525279908
edit_distance_max,0.011875743494212443
edit_distance_dict_6,0.00785393581457625
