Feature,Gini_Importance
nlri_ann,0.10282432142614727
imp_wd_dpath,0.08984876916969083
edit_distance_avg,0.060551897945707624
announcements,0.06013026058811626
edit_distance_dict_0,0.05733534014517721
unique_as_path_max,0.04755563083829017
flaps,0.04485311459293254
edit_distance_unique_dict_0,0.04439896102243731
imp_wd,0.043864838629774104
dups,0.04275121335452973
origin_0,0.03856958965127647
edit_distance_dict_1,0.037716636312448475
edit_distance_unique_dict_1,0.03632347139288077
withdrawals,0.03486053545577877
edit_distance_max,0.03376245083067317
edit_distance_dict_2,0.033694214724032244
origin_2,0.03172065176415436
nadas,0.03082226026197655
as_path_max,0.026613487919279328
imp_wd_spath,0.023790879196760487
edit_distance_dict_4,0.023569236558991624
origin_changes,0.019580311922072827
rare_ases_avg,0.016384709911136996
number_rare_ases,0.011424577801763744
edit_distance_dict_6,0.007052638583971266
