Feature,Score
dups,0.2044435151677204
edit_distance_unique_dict_1,0.1284057060940722
edit_distance_dict_1,0.12218990591291523
imp_wd_spath,0.11011475457982711
imp_wd_dpath,0.10845137329135501
origin_0,0.10343111620411372
announcements,0.08889786049508341
nlri_ann,0.08778115875838743
origin_2,0.08345432135490416
edit_distance_dict_0,0.08070924146590941
origin_changes,0.08005940119813215
wd_dups,0.07294924004163494
edit_distance_unique_dict_0,0.07265357655643512
imp_wd,0.07001811503006938
edit_distance_dict_2,0.06631149835093897
number_rare_ases,0.0523683772478003
edit_distance_unique_dict_2,0.0522830231261846
edit_distance_avg,0.0519126436399886
edit_distance_unique_dict_3,0.04533205843212551
flaps,0.037821738004159444
rare_ases_max,0.03531245522997639
ann_to_shorter,0.0336183039876119
origin_1,0.032305465674595135
edit_distance_dict_10,0.028639314642552316
ann_to_longer,0.02734691776686593
nadas,0.02728753839670106
edit_distance_dict_8,0.027261008346542548
edit_distance_dict_4,0.02633689672689976
edit_distance_dict_3,0.02495229706551627
as_path_max,0.021485932042476064
unique_as_path_max,0.02106495463581215
as_path_avg,0.01837742372215323
rare_ases_avg,0.01779195651930965
edit_distance_unique_dict_4,0.01580235882861669
edit_distance_max,0.015234737581086177
edit_distance_dict_6,0.014319141589403728
edit_distance_unique_dict_9,0.010865067045410681
edit_distance_unique_dict_6,0.007687108963635003
withdrawals,0.00768175444088226
edit_distance_unique_dict_10,0.00652844062436575
edit_distance_unique_dict_7,0.004258177790706252
news,0.002011024142902551
edit_distance_dict_5,0.0
edit_distance_unique_dict_8,0.0
edit_distance_dict_7,0.0
edit_distance_dict_9,0.0
unique_as_path_avg,0.0
edit_distance_unique_dict_5,0.0
