Feature,Score
nlri_ann,128.52573402343478
rare_ases_max,98.68230468968648
edit_distance_dict_1,94.40961994475596
edit_distance_unique_dict_1,94.40961994475596
edit_distance_avg,89.83796997781906
imp_wd_dpath,85.20744591671065
imp_wd,80.13681048750495
announcements,75.45152685099188
dups,70.47911337058882
origin_0,70.10841517829382
wd_dups,69.29907841676368
edit_distance_unique_dict_0,67.52294832317857
edit_distance_dict_0,67.52294832317857
edit_distance_unique_dict_2,62.178609829984616
edit_distance_dict_2,62.178609829984616
number_rare_ases,57.709993573566514
origin_changes,55.32334870224317
ann_to_longer,50.010400909019395
ann_to_shorter,47.2544882623995
origin_1,40.605100973503205
unique_as_path_max,34.36847859306333
nadas,21.79715582496461
origin_2,21.589833362828088
flaps,20.945253624971272
as_path_avg,19.534911377637997
edit_distance_unique_dict_4,18.735654212634053
edit_distance_dict_4,18.735654212634053
imp_wd_spath,18.04685074128276
as_path_max,16.551104743618392
edit_distance_unique_dict_5,15.868610217170376
edit_distance_dict_5,15.868610217170376
edit_distance_unique_dict_10,10.927390144592824
edit_distance_dict_10,10.927390144592824
unique_as_path_avg,10.379174983887012
edit_distance_max,8.656867559062059
edit_distance_unique_dict_6,6.690647360945261
edit_distance_dict_6,6.690647360945261
rare_ases_avg,6.536731484395724
withdrawals,3.7060092031137235
edit_distance_dict_9,2.9454632648760697
edit_distance_unique_dict_9,2.9454632648760697
edit_distance_dict_7,0.42405785230070625
edit_distance_unique_dict_7,0.42405785230070625
edit_distance_dict_3,0.37508693907306573
edit_distance_unique_dict_3,0.37508693907306573
edit_distance_dict_8,0.35502029310583433
edit_distance_unique_dict_8,0.35502029310583433
news,0.261324331307074
