Feature,Score
edit_distance_dict_1,0.26269379518467595
dups,0.15780698491568673
origin_2,0.15546275903603207
edit_distance_avg,0.07297287716284115
edit_distance_unique_dict_1,0.06437037544109542
imp_wd_spath,0.03909542518481713
ann_to_longer,0.036624826063390105
wd_dups,0.019843408899500346
edit_distance_unique_dict_3,0.019713277589668746
unique_as_path_max,0.01858122892619098
flaps,0.01419690764984276
edit_distance_dict_3,0.013947793705491445
origin_0,0.013799241601310394
edit_distance_unique_dict_0,0.012312011144470338
edit_distance_dict_2,0.012172248906243221
unique_as_path_avg,0.00998382486095111
nadas,0.008301759525829462
ann_to_shorter,0.0074231871746241185
nlri_ann,0.006830217510526661
edit_distance_max,0.00616976999855211
withdrawals,0.0061315280241516145
imp_wd,0.004558698720036315
news,0.004135962247250994
edit_distance_unique_dict_5,0.003978295912825323
edit_distance_dict_6,0.0037994894210503774
announcements,0.0029661862695435828
imp_wd_dpath,0.002742074418066957
as_path_avg,0.0025992580421259695
edit_distance_dict_5,0.002519280871599017
rare_ases_avg,0.0023642792860999466
edit_distance_unique_dict_2,0.0020565558135502175
number_rare_ases,0.0019976888781003312
edit_distance_dict_4,0.0017722506780132755
rare_ases_max,0.0013710372090334783
edit_distance_dict_10,0.0013710372090334783
origin_changes,0.0010282779067751087
as_path_max,0.0008911741858717592
edit_distance_dict_8,0.0008668493321631036
edit_distance_unique_dict_10,0.0005481550929688677
edit_distance_dict_7,0.0
edit_distance_dict_9,0.0
edit_distance_dict_0,0.0
edit_distance_unique_dict_4,0.0
edit_distance_unique_dict_6,0.0
edit_distance_unique_dict_7,0.0
edit_distance_unique_dict_8,0.0
edit_distance_unique_dict_9,0.0
origin_1,0.0
