Feature,Score
edit_distance_dict_3,0.0008025338828254699
edit_distance_unique_dict_3,0.0003961593242716793
edit_distance_dict_4,0.0003141353679563614
imp_wd_spath,0.0003127932696534902
withdrawals,0.00022725830408627847
origin_changes,0.00010814679417963265
nlri_ann,8.806315143411307e-05
number_rare_ases,8.68460875620293e-05
ann_to_shorter,6.253480883251706e-05
edit_distance_dict_2,5.275605131278586e-05
edit_distance_unique_dict_2,5.2022120828717357e-05
edit_distance_dict_1,4.222180363086214e-05
edit_distance_unique_dict_1,4.1757346302042706e-05
imp_wd,2.1875263363576068e-05
edit_distance_unique_dict_0,2.0390488272527567e-05
ann_to_longer,1.476946961316774e-05
edit_distance_unique_dict_4,1.0681677394103782e-05
announcements,9.125840778100812e-06
edit_distance_dict_0,5.764469714000235e-06
edit_distance_dict_8,0.0
edit_distance_dict_10,0.0
edit_distance_avg,0.0
unique_as_path_max,0.0
unique_as_path_avg,0.0
edit_distance_dict_5,0.0
edit_distance_dict_6,0.0
dups,0.0
as_path_max,0.0
as_path_avg,0.0
edit_distance_dict_7,0.0
rare_ases_avg,0.0
edit_distance_dict_9,0.0
imp_wd_dpath,0.0
origin_2,0.0
origin_1,0.0
origin_0,0.0
news,0.0
nadas,0.0
rare_ases_max,0.0
flaps,0.0
edit_distance_max,0.0
edit_distance_unique_dict_9,0.0
edit_distance_unique_dict_8,0.0
edit_distance_unique_dict_7,0.0
edit_distance_unique_dict_6,0.0
edit_distance_unique_dict_5,0.0
wd_dups,0.0
edit_distance_unique_dict_10,0.0
