Feature_Selection_Method,Model,Features,Eval,Accuracy,Precision,Recall,F1 Score
XGBoost Importance,Random Forest,18,Cross-Validation,0.8833601547316139,0.8856227108309188,0.8833601547316139,0.8831892040552038
XGBoost Importance,Random Forest,13,Train-Test,0.8691780821917808,0.8704634771424966,0.8691780821917808,0.8690645056628685
XGBoost Importance,Random Forest,13,Cross-Validation,0.8797964453040645,0.8817607611444526,0.8797964453040645,0.8796415421256215
XGBoost Importance,Random Forest,8,Train-Test,0.8410958904109589,0.8432627810007252,0.8410958904109589,0.840844718348905
XGBoost Importance,Random Forest,8,Cross-Validation,0.8421047442891079,0.8445162982425458,0.8421047442891079,0.8418213875067909
XGBoost Importance,Random Forest,3,Train-Test,0.773972602739726,0.7798736351367932,0.773972602739726,0.7727748631838685
XGBoost Importance,Random Forest,3,Cross-Validation,0.7695994629460975,0.7777158911288085,0.7695994629460975,0.7678943523640749
XGBoost Importance,XGBoost,48,Train-Test,0.8883561643835617,0.8886194250561931,0.8883561643835617,0.888337253588171
XGBoost Importance,XGBoost,48,Cross-Validation,0.9004935825814266,0.9011173113111711,0.9004935825814266,0.9004539771858407
XGBoost Importance,XGBoost,43,Train-Test,0.8883561643835617,0.8886194250561931,0.8883561643835617,0.888337253588171
XGBoost Importance,XGBoost,43,Cross-Validation,0.9004935825814266,0.9011173113111711,0.9004935825814266,0.9004539771858407
XGBoost Importance,XGBoost,38,Train-Test,0.8883561643835617,0.8886194250561931,0.8883561643835617,0.888337253588171
XGBoost Importance,XGBoost,38,Cross-Validation,0.9004935825814266,0.9011173113111711,0.9004935825814266,0.9004539771858407
XGBoost Importance,XGBoost,33,Train-Test,0.9041095890410958,0.9045468549229417,0.9041095890410958,0.9040836705733956
XGBoost Importance,XGBoost,33,Cross-Validation,0.9026862084182261,0.9031483149514861,0.9026862084182261,0.9026582683983815
XGBoost Importance,XGBoost,28,Train-Test,0.8958904109589041,0.8964737012230416,0.8958904109589041,0.8958521054844717
XGBoost Importance,XGBoost,28,Cross-Validation,0.9007676490747087,0.9013559869506546,0.9007676490747087,0.9007312801775452
XGBoost Importance,XGBoost,23,Train-Test,0.8965753424657534,0.8971185953387163,0.8965753424657534,0.8965399594813576
XGBoost Importance,XGBoost,23,Cross-Validation,0.8967918540565408,0.8972758429992671,0.8967918540565408,0.8967594140234194
XGBoost Importance,XGBoost,18,Train-Test,0.9006849315068494,0.9010830792811779,0.9006849315068494,0.9006602783295349
XGBoost Importance,XGBoost,18,Cross-Validation,0.8930923789046729,0.8937986282345822,0.8930923789046729,0.8930452222538232
XGBoost Importance,XGBoost,13,Train-Test,0.8801369863013698,0.8806577209205312,0.8801369863013698,0.8800959795313746
XGBoost Importance,XGBoost,13,Cross-Validation,0.8810295097974781,0.881581413057593,0.8810295097974781,0.8809841806946948
XGBoost Importance,XGBoost,8,Train-Test,0.8424657534246576,0.8458299539904041,0.8424657534246576,0.8420816999119646
XGBoost Importance,XGBoost,8,Cross-Validation,0.8438865051123401,0.846344338297883,0.8438865051123401,0.84360911734318
XGBoost Importance,XGBoost,3,Train-Test,0.7726027397260274,0.7804353533481592,0.7726027397260274,0.7710037624319939
XGBoost Importance,XGBoost,3,Cross-Validation,0.7794687673110687,0.7902818530930853,0.7794687673110687,0.777380537875685
